City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.484,-69.3632,-23.24,73,{'all': 0},"{'speed': 2.91, 'deg': 45, 'gust': 2.86}",GL,1681264919
1,castro,-24.7911,-50.0119,14.12,81,{'all': 0},"{'speed': 1.96, 'deg': 30, 'gust': 2.44}",BR,1681265026
2,torbay,47.6666,-52.7314,3.43,60,{'all': 75},"{'speed': 5.14, 'deg': 210}",CA,1681265099
3,hilo,19.7297,-155.09,25.71,86,{'all': 99},"{'speed': 4.02, 'deg': 93, 'gust': 6.71}",US,1681264978
4,yellowknife,62.456,-114.3525,-6.71,73,{'all': 100},"{'speed': 4.63, 'deg': 20}",CA,1681264966
5,ushuaia,-54.8,-68.3,1.81,80,{'all': 75},"{'speed': 8.75, 'deg': 250}",AR,1681264953
6,mataura,-46.1927,168.8643,11.38,95,{'all': 100},"{'speed': 2.34, 'deg': 141, 'gust': 7.23}",NZ,1681265219
7,vaini,-21.2,-175.2,30.09,74,{'all': 40},"{'speed': 6.69, 'deg': 80}",TO,1681265082
8,springfield,37.2153,-93.2982,17.16,56,{'all': 0},"{'speed': 1.79, 'deg': 165, 'gust': 2.68}",US,1681264806
9,nouadhibou,20.931,-17.0347,17.88,86,{'all': 0},"{'speed': 3.72, 'deg': 246, 'gust': 3.77}",MR,1681265220
10,east london,-33.0153,27.9116,14.77,63,{'all': 100},"{'speed': 2.19, 'deg': 316, 'gust': 2.35}",ZA,1681265220
11,port elizabeth,-33.918,25.5701,12.4,84,{'all': 85},"{'speed': 0.89, 'deg': 275, 'gust': 1.79}",ZA,1681265220
12,coahuayana,18.7333,-103.6833,23.08,70,{'all': 3},"{'speed': 0.71, 'deg': 274, 'gust': 1.18}",MX,1681265220
13,barrow,71.2906,-156.7887,-20.99,77,{'all': 100},"{'speed': 4.63, 'deg': 240}",US,1681265075
14,rikitea,-23.1203,-134.9692,24.98,70,{'all': 100},"{'speed': 3.59, 'deg': 68, 'gust': 3.43}",PF,1681265221
15,albany,42.6001,-73.9662,19.33,42,{'all': 100},"{'speed': 6.76, 'deg': 278, 'gust': 17.67}",US,1681264949
16,hobart,-42.8794,147.3294,17.37,77,{'all': 75},"{'speed': 2.57, 'deg': 140}",AU,1681264993
17,isangel,-19.55,169.2667,29.17,70,{'all': 15},"{'speed': 0.96, 'deg': 335, 'gust': 1.37}",VU,1681265152
18,bantry,51.6833,-9.45,6.55,77,{'all': 81},"{'speed': 13.97, 'deg': 246, 'gust': 22.46}",IE,1681265222
19,roebourne,-20.7833,117.1333,32.51,48,{'all': 97},"{'speed': 5.61, 'deg': 92, 'gust': 6.86}",AU,1681265223
20,boa vista,2.8197,-60.6733,30.99,51,{'all': 40},"{'speed': 3.6, 'deg': 110}",BR,1681265224
21,cabo san lucas,22.8909,-109.9124,27.56,62,{'all': 0},"{'speed': 7.19, 'deg': 304, 'gust': 8.9}",MX,1681265039
22,sangar,63.9242,127.4739,-6.78,83,{'all': 34},"{'speed': 1.61, 'deg': 277, 'gust': 1.89}",RU,1681265224
23,goianesia,-15.3175,-49.1175,20.72,92,{'all': 100},"{'speed': 1.32, 'deg': 81, 'gust': 1.31}",BR,1681265225
24,marsa matruh,31.3525,27.2453,14.15,70,{'all': 41},"{'speed': 8.73, 'deg': 311, 'gust': 11.21}",EG,1681265225
25,lebu,-37.6167,-73.65,13.13,97,{'all': 92},"{'speed': 1.97, 'deg': 162, 'gust': 2.16}",CL,1681264963
26,krasnogorsk,55.8225,37.3181,6.21,93,{'all': 93},"{'speed': 0, 'deg': 0}",RU,1681265226
27,carauari,-4.8828,-66.8958,23.38,97,{'all': 79},"{'speed': 0.49, 'deg': 53, 'gust': 0.52}",BR,1681264974
28,vredendal,-31.6683,18.5012,15.55,33,{'all': 89},"{'speed': 1.91, 'deg': 91, 'gust': 1.98}",ZA,1681265227
29,geraldton,-28.7667,114.6,22.23,53,{'all': 0},"{'speed': 4.63, 'deg': 100}",AU,1681265228
30,qasigiannguit,68.8193,-51.1922,-8.88,89,{'all': 94},"{'speed': 1.41, 'deg': 147, 'gust': 1.62}",GL,1681265074
31,aasiaat,68.7098,-52.8699,-9.68,99,{'all': 59},"{'speed': 2.58, 'deg': 228, 'gust': 2.61}",GL,1681264973
32,fort-shevchenko,44.5086,50.263,15.56,44,{'all': 61},"{'speed': 14.44, 'deg': 113, 'gust': 22.59}",KZ,1681265229
33,diffa,13.3154,12.6113,27.53,16,{'all': 98},"{'speed': 6.26, 'deg': 8, 'gust': 13.4}",NE,1681265229
34,verkhnevilyuysk,63.4453,120.3167,-7.66,88,{'all': 98},"{'speed': 3.51, 'deg': 112, 'gust': 5.71}",RU,1681265230
35,longyearbyen,78.2186,15.6401,-2.09,93,{'all': 75},"{'speed': 1.03, 'deg': 350}",SJ,1681264941
36,arlit,18.7369,7.3853,25.45,18,{'all': 7},"{'speed': 3.46, 'deg': 58, 'gust': 4.05}",NE,1681265231
37,carnarvon,-24.8667,113.6333,23.89,42,{'all': 8},"{'speed': 7.28, 'deg': 149, 'gust': 7.87}",AU,1681264994
38,tadepallegudem,16.8333,81.5,30.13,42,{'all': 0},"{'speed': 2.08, 'deg': 209, 'gust': 2.37}",IN,1681265232
39,rocha,-34.4833,-54.3333,19.35,69,{'all': 93},"{'speed': 3.02, 'deg': 300, 'gust': 9.75}",UY,1681265002
40,kajaani,64.2273,27.7285,-2.97,86,{'all': 0},"{'speed': 0.51, 'deg': 40}",FI,1681265233
41,toumodi,6.5613,-5.0158,24.34,87,{'all': 98},"{'speed': 1.7, 'deg': 197, 'gust': 6.01}",CI,1681265233
42,bredasdorp,-34.5322,20.0403,11.66,77,{'all': 81},"{'speed': 1.51, 'deg': 35, 'gust': 1.65}",ZA,1681264980
43,freeport,40.6576,-73.5832,20.99,39,{'all': 100},"{'speed': 4.92, 'deg': 244, 'gust': 8.05}",US,1681265234
